Team,Season,Playoff_Wins,Playoff_Losses,Round_Reached,Finals_Appearance,Championship,Franchise
Houston Rockets,2007,3,4,1,0,0,Houston Rockets
Boston Celtics,2008,16,10,4,1,1,Boston Celtics
Los Angeles Lakers,2008,14,7,4,1,0,Los Angeles Lakers
Detroit Pistons,2008,10,7,3,0,0,Detroit Pistons
San Antonio Spurs,2008,9,8,3,0,0,San Antonio Spurs
Cleveland Cavaliers,2008,7,6,2,0,0,Cleveland Cavaliers
Orlando Magic,2008,5,5,2,0,0,Orlando Magic
Utah Jazz,2008,6,6,2,0,0,Utah Jazz
New Orleans Hornets,2008,7,5,2,0,0,New Orleans Pelicans
Atlanta Hawks,2008,3,4,1,0,0,Atlanta Hawks
Washington Wizards,2008,2,4,1,0,0,Washington Wizards
Philadelphia 76ers,2008,2,4,1,0,0,Philadelphia 76ers
Toronto Raptors,2008,1,4,1,0,0,Toronto Raptors
Denver Nuggets,2008,0,4,1,0,0,Denver Nuggets
Dallas Mavericks,2008,1,4,1,0,0,Dallas Mavericks
Phoenix Suns,2008,1,4,1,0,0,Phoenix Suns
Houston Rockets,2008,2,4,1,0,0,Houston Rockets
Los Angeles Lakers,2009,16,7,4,1,1,Los Angeles Lakers
Orlando Magic,2009,13,11,4,1,0,Orlando Magic
Cleveland Cavaliers,2009,10,4,3,0,0,Cleveland Cavaliers
Denver Nuggets,2009,10,6,3,0,0,Denver Nuggets
Atlanta Hawks,2009,4,7,2,0,0,Atlanta Hawks
Boston Celtics,2009,7,7,2,0,0,Boston Celtics
Dallas Mavericks,2009,5,5,2,0,0,Dallas Mavericks
Houston Rockets,2009,7,6,2,0,0,Houston Rockets
Miami Heat,2009,3,4,1,0,0,Miami Heat
Chicago Bulls,2009,3,4,1,0,0,Chicago Bulls
Detroit Pistons,2009,0,4,1,0,0,Detroit Pistons
Philadelphia 76ers,2009,2,4,1,0,0,Philadelphia 76ers
San Antonio Spurs,2009,1,4,1,0,0,San Antonio Spurs
New Orleans Hornets,2009,1,4,1,0,0,New Orleans Pelicans
Portland Trail Blazers,2009,2,4,1,0,0,Portland Trail Blazers
Utah Jazz,2009,1,4,1,0,0,Utah Jazz
Los Angeles Lakers,2010,16,7,4,1,1,Los Angeles Lakers
Boston Celtics,2010,15,9,4,1,0,Boston Celtics
Orlando Magic,2010,10,4,3,0,0,Orlando Magic
Phoenix Suns,2010,10,6,3,0,0,Phoenix Suns
Cleveland Cavaliers,2010,6,5,2,0,0,Cleveland Cavaliers
Atlanta Hawks,2010,4,7,2,0,0,Atlanta Hawks
Utah Jazz,2010,4,6,2,0,0,Utah Jazz
San Antonio Spurs,2010,4,6,2,0,0,San Antonio Spurs
Milwaukee Bucks,2010,3,4,1,0,0,Milwaukee Bucks
Miami Heat,2010,1,4,1,0,0,Miami Heat
Chicago Bulls,2010,1,4,1,0,0,Chicago Bulls
Charlotte Bobcats,2010,0,4,1,0,0,Charlotte Hornets
Oklahoma City Thunder,2010,2,4,1,0,0,Oklahoma City Thunder
Portland Trail Blazers,2010,2,4,1,0,0,Portland Trail Blazers
Dallas Mavericks,2010,2,4,1,0,0,Dallas Mavericks
Denver Nuggets,2010,2,4,1,0,0,Denver Nuggets
Dallas Mavericks,2011,16,5,4,1,1,Dallas Mavericks
Miami Heat,2011,14,7,4,1,0,Miami Heat
Chicago Bulls,2011,9,7,3,0,0,Chicago Bulls
Oklahoma City Thunder,2011,9,8,3,0,0,Oklahoma City Thunder
Atlanta Hawks,2011,6,6,2,0,0,Atlanta Hawks
Boston Celtics,2011,5,4,2,0,0,Boston Celtics
Los Angeles Lakers,2011,4,6,2,0,0,Los Angeles Lakers
Memphis Grizzlies,2011,7,6,2,0,0,Memphis Grizzlies
Orlando Magic,2011,2,4,1,0,0,Orlando Magic
New York Knicks,2011,0,4,1,0,0,New York Knicks
Indiana Pacers,2011,1,4,1,0,0,Indiana Pacers
Philadelphia 76ers,2011,1,4,1,0,0,Philadelphia 76ers
Portland Trail Blazers,2011,2,4,1,0,0,Portland Trail Blazers
New Orleans Hornets,2011,2,4,1,0,0,New Orleans Pelicans
San Antonio Spurs,2011,2,4,1,0,0,San Antonio Spurs
Denver Nuggets,2011,1,4,1,0,0,Denver Nuggets
Miami Heat,2012,16,7,4,1,1,Miami Heat
Oklahoma City Thunder,2012,13,7,4,1,0,Oklahoma City Thunder
Boston Celtics,2012,11,9,3,0,0,Boston Celtics
San Antonio Spurs,2012,10,4,3,0,0,San Antonio Spurs
Philadelphia 76ers,2012,7,6,2,0,0,Philadelphia 76ers
Indiana Pacers,2012,6,5,2,0,0,Indiana Pacers
Los Angeles Lakers,2012,5,7,2,0,0,Los Angeles Lakers
Los Angeles Clippers,2012,4,7,2,0,0,Los Angeles Clippers
Atlanta Hawks,2012,2,4,1,0,0,Atlanta Hawks
Orlando Magic,2012,1,4,1,0,0,Orlando Magic
New York Knicks,2012,1,4,1,0,0,New York Knicks
Chicago Bulls,2012,2,4,1,0,0,Chicago Bulls
Memphis Grizzlies,2012,3,4,1,0,0,Memphis Grizzlies
Denver Nuggets,2012,3,4,1,0,0,Denver Nuggets
Dallas Mavericks,2012,0,4,1,0,0,Dallas Mavericks
Utah Jazz,2012,0,4,1,0,0,Utah Jazz
Miami Heat,2013,16,7,4,1,1,Miami Heat
San Antonio Spurs,2013,15,6,4,1,0,San Antonio Spurs
Indiana Pacers,2013,11,8,3,0,0,Indiana Pacers
Memphis Grizzlies,2013,8,7,3,0,0,Memphis Grizzlies
New York Knicks,2013,6,6,2,0,0,New York Knicks
Chicago Bulls,2013,5,7,2,0,0,Chicago Bulls
Oklahoma City Thunder,2013,5,6,2,0,0,Oklahoma City Thunder
Golden State Warriors,2013,6,6,2,0,0,Golden State Warriors
Brooklyn Nets,2013,3,4,1,0,0,Brooklyn Nets
Atlanta Hawks,2013,2,4,1,0,0,Atlanta Hawks
Milwaukee Bucks,2013,0,4,1,0,0,Milwaukee Bucks
Boston Celtics,2013,2,4,1,0,0,Boston Celtics
Denver Nuggets,2013,2,4,1,0,0,Denver Nuggets
Los Angeles Clippers,2013,2,4,1,0,0,Los Angeles Clippers
Houston Rockets,2013,2,4,1,0,0,Houston Rockets
Los Angeles Lakers,2013,0,4,1,0,0,Los Angeles Lakers
San Antonio Spurs,2014,16,7,4,1,1,San Antonio Spurs
Miami Heat,2014,13,7,4,1,0,Miami Heat
Indiana Pacers,2014,10,9,3,0,0,Indiana Pacers
Oklahoma City Thunder,2014,10,9,3,0,0,Oklahoma City Thunder
Washington Wizards,2014,6,5,2,0,0,Washington Wizards
Brooklyn Nets,2014,5,7,2,0,0,Brooklyn Nets
Los Angeles Clippers,2014,6,7,2,0,0,Los Angeles Clippers
Portland Trail Blazers,2014,5,6,2,0,0,Portland Trail Blazers
Toronto Raptors,2014,3,4,1,0,0,Toronto Raptors
Atlanta Hawks,2014,3,4,1,0,0,Atlanta Hawks
Charlotte Bobcats,2014,0,4,1,0,0,Charlotte Hornets
Chicago Bulls,2014,1,4,1,0,0,Chicago Bulls
Golden State Warriors,2014,3,4,1,0,0,Golden State Warriors
Memphis Grizzlies,2014,3,4,1,0,0,Memphis Grizzlies
Houston Rockets,2014,2,4,1,0,0,Houston Rockets
Dallas Mavericks,2014,3,4,1,0,0,Dallas Mavericks
Golden State Warriors,2015,16,5,4,1,1,Golden State Warriors
Cleveland Cavaliers,2015,14,6,4,1,0,Cleveland Cavaliers
Atlanta Hawks,2015,8,8,3,0,0,Atlanta Hawks
Houston Rockets,2015,9,8,3,0,0,Houston Rockets
Washington Wizards,2015,6,4,2,0,0,Washington Wizards
Chicago Bulls,2015,6,6,2,0,0,Chicago Bulls
Memphis Grizzlies,2015,6,5,2,0,0,Memphis Grizzlies
Los Angeles Clippers,2015,7,7,2,0,0,Los Angeles Clippers
Brooklyn Nets,2015,2,4,1,0,0,Brooklyn Nets
Milwaukee Bucks,2015,2,4,1,0,0,Milwaukee Bucks
Boston Celtics,2015,0,4,1,0,0,Boston Celtics
Toronto Raptors,2015,0,4,1,0,0,Toronto Raptors
New Orleans Pelicans,2015,0,4,1,0,0,New Orleans Pelicans
Dallas Mavericks,2015,1,4,1,0,0,Dallas Mavericks
San Antonio Spurs,2015,3,4,1,0,0,San Antonio Spurs
Portland Trail Blazers,2015,1,4,1,0,0,Portland Trail Blazers
Cleveland Cavaliers,2016,16,5,4,1,1,Cleveland Cavaliers
Golden State Warriors,2016,15,9,4,1,0,Golden State Warriors
Toronto Raptors,2016,10,10,3,0,0,Toronto Raptors
Oklahoma City Thunder,2016,11,7,3,0,0,Oklahoma City Thunder
Atlanta Hawks,2016,4,6,2,0,0,Atlanta Hawks
Miami Heat,2016,7,7,2,0,0,Miami Heat
Portland Trail Blazers,2016,5,6,2,0,0,Portland Trail Blazers
San Antonio Spurs,2016,6,4,2,0,0,San Antonio Spurs
Boston Celtics,2016,2,4,1,0,0,Boston Celtics
Detroit Pistons,2016,0,4,1,0,0,Detroit Pistons
Charlotte Hornets,2016,3,4,1,0,0,Charlotte Hornets
Indiana Pacers,2016,3,4,1,0,0,Indiana Pacers
Houston Rockets,2016,1,4,1,0,0,Houston Rockets
Dallas Mavericks,2016,1,4,1,0,0,Dallas Mavericks
Los Angeles Clippers,2016,2,4,1,0,0,Los Angeles Clippers
Memphis Grizzlies,2016,0,4,1,0,0,Memphis Grizzlies
Golden State Warriors,2017,16,1,4,1,1,Golden State Warriors
Cleveland Cavaliers,2017,13,5,4,1,0,Cleveland Cavaliers
Boston Celtics,2017,9,9,3,0,0,Boston Celtics
San Antonio Spurs,2017,8,8,3,0,0,San Antonio Spurs
Washington Wizards,2017,7,6,2,0,0,Washington Wizards
Toronto Raptors,2017,4,6,2,0,0,Toronto Raptors
Utah Jazz,2017,4,7,2,0,0,Utah Jazz
Houston Rockets,2017,6,5,2,0,0,Houston Rockets
Chicago Bulls,2017,2,4,1,0,0,Chicago Bulls
Indiana Pacers,2017,0,4,1,0,0,Indiana Pacers
Milwaukee Bucks,2017,2,4,1,0,0,Milwaukee Bucks
Atlanta Hawks,2017,2,4,1,0,0,Atlanta Hawks
Portland Trail Blazers,2017,0,4,1,0,0,Portland Trail Blazers
Oklahoma City Thunder,2017,1,4,1,0,0,Oklahoma City Thunder
Memphis Grizzlies,2017,2,4,1,0,0,Memphis Grizzlies
Los Angeles Clippers,2017,3,4,1,0,0,Los Angeles Clippers
Golden State Warriors,2018,16,5,4,1,1,Golden State Warriors
Cleveland Cavaliers,2018,12,10,4,1,0,Cleveland Cavaliers
Boston Celtics,2018,11,8,3,0,0,Boston Celtics
Houston Rockets,2018,11,6,3,0,0,Houston Rockets
Philadelphia 76ers,2018,5,5,2,0,0,Philadelphia 76ers
Toronto Raptors,2018,4,6,2,0,0,Toronto Raptors
New Orleans Pelicans,2018,5,4,2,0,0,New Orleans Pelicans
Utah Jazz,2018,5,6,2,0,0,Utah Jazz
Milwaukee Bucks,2018,3,4,1,0,0,Milwaukee Bucks
Indiana Pacers,2018,3,4,1,0,0,Indiana Pacers
Miami Heat,2018,1,4,1,0,0,Miami Heat
Washington Wizards,2018,2,4,1,0,0,Washington Wizards
San Antonio Spurs,2018,1,4,1,0,0,San Antonio Spurs
Minnesota Timberwolves,2018,1,4,1,0,0,Minnesota Timberwolves
Portland Trail Blazers,2018,0,4,1,0,0,Portland Trail Blazers
Oklahoma City Thunder,2018,2,4,1,0,0,Oklahoma City Thunder
Toronto Raptors,2019,16,8,4,1,1,Toronto Raptors
Golden State Warriors,2019,14,8,4,1,0,Golden State Warriors
Milwaukee Bucks,2019,10,5,3,0,0,Milwaukee Bucks
Portland Trail Blazers,2019,8,8,3,0,0,Portland Trail Blazers
Boston Celtics,2019,5,4,2,0,0,Boston Celtics
Philadelphia 76ers,2019,7,5,2,0,0,Philadelphia 76ers
Houston Rockets,2019,6,5,2,0,0,Houston Rockets
Denver Nuggets,2019,7,7,2,0,0,Denver Nuggets
Indiana Pacers,2019,0,4,1,0,0,Indiana Pacers
Detroit Pistons,2019,0,4,1,0,0,Detroit Pistons
Brooklyn Nets,2019,1,4,1,0,0,Brooklyn Nets
Orlando Magic,2019,1,4,1,0,0,Orlando Magic
San Antonio Spurs,2019,3,4,1,0,0,San Antonio Spurs
Los Angeles Clippers,2019,2,4,1,0,0,Los Angeles Clippers
Utah Jazz,2019,1,4,1,0,0,Utah Jazz
Oklahoma City Thunder,2019,1,4,1,0,0,Oklahoma City Thunder
Los Angeles Lakers,2020,16,5,4,1,1,Los Angeles Lakers
Miami Heat,2020,14,7,4,1,0,Miami Heat
Boston Celtics,2020,10,7,3,0,0,Boston Celtics
Denver Nuggets,2020,9,10,3,0,0,Denver Nuggets
Toronto Raptors,2020,7,4,2,0,0,Toronto Raptors
Milwaukee Bucks,2020,5,5,2,0,0,Milwaukee Bucks
Los Angeles Clippers,2020,7,6,2,0,0,Los Angeles Clippers
Houston Rockets,2020,5,7,2,0,0,Houston Rockets
Philadelphia 76ers,2020,0,4,1,0,0,Philadelphia 76ers
Indiana Pacers,2020,0,4,1,0,0,Indiana Pacers
Orlando Magic,2020,1,4,1,0,0,Orlando Magic
Brooklyn Nets,2020,0,4,1,0,0,Brooklyn Nets
Utah Jazz,2020,3,4,1,0,0,Utah Jazz
Oklahoma City Thunder,2020,3,4,1,0,0,Oklahoma City Thunder
Dallas Mavericks,2020,2,4,1,0,0,Dallas Mavericks
Portland Trail Blazers,2020,1,4,1,0,0,Portland Trail Blazers
Milwaukee Bucks,2021,16,7,4,1,1,Milwaukee Bucks
Phoenix Suns,2021,14,8,4,1,0,Phoenix Suns
Atlanta Hawks,2021,10,8,3,0,0,Atlanta Hawks
Los Angeles Clippers,2021,10,9,3,0,0,Los Angeles Clippers
Philadelphia 76ers,2021,7,5,2,0,0,Philadelphia 76ers
Brooklyn Nets,2021,7,5,2,0,0,Brooklyn Nets
Utah Jazz,2021,6,5,2,0,0,Utah Jazz
Denver Nuggets,2021,4,6,2,0,0,Denver Nuggets
New York Knicks,2021,1,4,1,0,0,New York Knicks
Boston Celtics,2021,1,4,1,0,0,Boston Celtics
Miami Heat,2021,0,4,1,0,0,Miami Heat
Washington Wizards,2021,1,4,1,0,0,Washington Wizards
Portland Trail Blazers,2021,2,4,1,0,0,Portland Trail Blazers
Dallas Mavericks,2021,3,4,1,0,0,Dallas Mavericks
Los Angeles Lakers,2021,2,4,1,0,0,Los Angeles Lakers
Memphis Grizzlies,2021,1,4,1,0,0,Memphis Grizzlies
Golden State Warriors,2022,16,6,4,1,1,Golden State Warriors
Boston Celtics,2022,14,10,4,1,0,Boston Celtics
Miami Heat,2022,11,7,3,0,0,Miami Heat
Dallas Mavericks,2022,9,9,3,0,0,Dallas Mavericks
Milwaukee Bucks,2022,7,5,2,0,0,Milwaukee Bucks
Philadelphia 76ers,2022,6,6,2,0,0,Philadelphia 76ers
Phoenix Suns,2022,7,6,2,0,0,Phoenix Suns
Memphis Grizzlies,2022,6,6,2,0,0,Memphis Grizzlies
Brooklyn Nets,2022,0,4,1,0,0,Brooklyn Nets
Atlanta Hawks,2022,1,4,1,0,0,Atlanta Hawks
Chicago Bulls,2022,1,4,1,0,0,Chicago Bulls
Toronto Raptors,2022,2,4,1,0,0,Toronto Raptors
Utah Jazz,2022,2,4,1,0,0,Utah Jazz
Denver Nuggets,2022,1,4,1,0,0,Denver Nuggets
Minnesota Timberwolves,2022,2,4,1,0,0,Minnesota Timberwolves
New Orleans Pelicans,2022,2,4,1,0,0,New Orleans Pelicans
Denver Nuggets,2023,16,4,4,1,1,Denver Nuggets
Miami Heat,2023,13,10,4,1,0,Miami Heat
Boston Celtics,2023,11,9,3,0,0,Boston Celtics
Los Angeles Lakers,2023,8,8,3,0,0,Los Angeles Lakers
Philadelphia 76ers,2023,7,4,2,0,0,Philadelphia 76ers
New York Knicks,2023,6,5,2,0,0,New York Knicks
Phoenix Suns,2023,6,5,2,0,0,Phoenix Suns
Golden State Warriors,2023,6,7,2,0,0,Golden State Warriors
Atlanta Hawks,2023,2,4,1,0,0,Atlanta Hawks
Milwaukee Bucks,2023,1,4,1,0,0,Milwaukee Bucks
Cleveland Cavaliers,2023,1,4,1,0,0,Cleveland Cavaliers
Brooklyn Nets,2023,0,4,1,0,0,Brooklyn Nets
Minnesota Timberwolves,2023,1,4,1,0,0,Minnesota Timberwolves
Sacramento Kings,2023,3,4,1,0,0,Sacramento Kings
Memphis Grizzlies,2023,2,4,1,0,0,Memphis Grizzlies
Los Angeles Clippers,2023,1,4,1,0,0,Los Angeles Clippers
Boston Celtics,2024,16,3,4,1,1,Boston Celtics
Dallas Mavericks,2024,13,9,4,1,0,Dallas Mavericks
Indiana Pacers,2024,8,9,3,0,0,Indiana Pacers
Minnesota Timberwolves,2024,9,7,3,0,0,Minnesota Timberwolves
Cleveland Cavaliers,2024,5,7,2,0,0,Cleveland Cavaliers
New York Knicks,2024,7,6,2,0,0,New York Knicks
Oklahoma City Thunder,2024,6,4,2,0,0,Oklahoma City Thunder
Denver Nuggets,2024,7,5,2,0,0,Denver Nuggets
Miami Heat,2024,1,4,1,0,0,Miami Heat
Orlando Magic,2024,3,4,1,0,0,Orlando Magic
Milwaukee Bucks,2024,2,4,1,0,0,Milwaukee Bucks
Philadelphia 76ers,2024,2,4,1,0,0,Philadelphia 76ers
Los Angeles Clippers,2024,2,4,1,0,0,Los Angeles Clippers
Los Angeles Lakers,2024,1,4,1,0,0,Los Angeles Lakers
Phoenix Suns,2024,0,4,1,0,0,Phoenix Suns
New Orleans Pelicans,2024,0,4,1,0,0,New Orleans Pelicans
Oklahoma City Thunder,2025,16,7,4,1,1,Oklahoma City Thunder
Indiana Pacers,2025,15,8,4,1,0,Indiana Pacers
New York Knicks,2025,10,8,3,0,0,New York Knicks
Minnesota Timberwolves,2025,9,6,3,0,0,Minnesota Timberwolves
Cleveland Cavaliers,2025,5,4,2,0,0,Cleveland Cavaliers
Boston Celtics,2025,6,5,2,0,0,Boston Celtics
Golden State Warriors,2025,5,7,2,0,0,Golden State Warriors
Denver Nuggets,2025,7,7,2,0,0,Denver Nuggets
Orlando Magic,2025,1,4,1,0,0,Orlando Magic
Miami Heat,2025,0,4,1,0,0,Miami Heat
Milwaukee Bucks,2025,1,4,1,0,0,Milwaukee Bucks
Detroit Pistons,2025,2,4,1,0,0,Detroit Pistons
Los Angeles Clippers,2025,3,4,1,0,0,Los Angeles Clippers
Houston Rockets,2025,3,4,1,0,0,Houston Rockets
Los Angeles Lakers,2025,1,4,1,0,0,Los Angeles Lakers
Memphis Grizzlies,2025,0,4,1,0,0,Memphis Grizzlies
